date,vehicle_category,maker,electric_vehicles_sold
2021-04-01,2-wheelers,ampere,751
2021-04-01,2-wheelers,ather,903
2021-04-01,2-wheelers,bajaj,48
2021-04-01,2-wheelers,being,171
2021-04-01,4-wheelers,bmw india,0
2021-04-01,4-wheelers,byd india,0
2021-04-01,2-wheelers,hero electric,759
2021-04-01,4-wheelers,hyundai motor,12
2021-04-01,2-wheelers,jitendra,36
2021-04-01,4-wheelers,kia motors,0
2021-04-01,4-wheelers,mahindra & mahindra,171
2021-04-01,4-wheelers,mercedes -benz ag,3
2021-04-01,4-wheelers,mg motor,118
2021-04-01,2-wheelers,okinawa,1251
2021-04-01,2-wheelers,ola electric,0
2021-04-01,2-wheelers,others,749
2021-04-01,4-wheelers,pca automobiles,0
2021-04-01,2-wheelers,pure ev,581
2021-04-01,2-wheelers,revolt,138
2021-04-01,4-wheelers,tata motors,322
2021-04-01,2-wheelers,tvs,302
2021-04-01,4-wheelers,volvo auto india,0
2022-04-01,2-wheelers,ampere,6864
2022-04-01,2-wheelers,ather,2451
2022-04-01,2-wheelers,bajaj,1223
2022-04-01,2-wheelers,being,874
2022-04-01,4-wheelers,bmw india,12
2022-04-01,4-wheelers,byd india,15
2022-04-01,2-wheelers,hero electric,6803
2022-04-01,4-wheelers,hyundai motor,17
2022-04-01,2-wheelers,jitendra,940
2022-04-01,4-wheelers,kia motors,0
2022-04-01,4-wheelers,mahindra & mahindra,611
2022-04-01,4-wheelers,mercedes -benz ag,8
2022-04-01,4-wheelers,mg motor,177
2022-04-01,2-wheelers,okaya ev,0
2022-04-01,2-wheelers,okinawa,11341
2022-04-01,2-wheelers,ola electric,13601
2022-04-01,2-wheelers,others,4683
2022-04-01,4-wheelers,pca automobiles,0
2022-04-01,2-wheelers,pure ev,1756
2022-04-01,2-wheelers,revolt,1241
2022-04-01,4-wheelers,tata motors,1409
2022-04-01,2-wheelers,tvs,1498
2022-04-01,4-wheelers,volvo auto india,0
2023-04-01,2-wheelers,ampere,8767
2023-04-01,2-wheelers,ather,7707
2023-04-01,2-wheelers,bajaj,4043
2023-04-01,2-wheelers,battre electric,644
2023-04-01,2-wheelers,bgauss,762
2023-04-01,4-wheelers,bmw india,51
2023-04-01,4-wheelers,byd india,156
2023-04-01,2-wheelers,hero electric,3293
2023-04-01,4-wheelers,hyundai motor,42
2023-04-01,4-wheelers,kia motors,30
2023-04-01,2-wheelers,kinetic green,838
2023-04-01,4-wheelers,mahindra & mahindra,4880
2023-04-01,4-wheelers,mercedes -benz ag,8
2023-04-01,4-wheelers,mg motor,265
2023-04-01,2-wheelers,okaya ev,1544
2023-04-01,2-wheelers,okinawa,3179
2023-04-01,2-wheelers,ola electric,22548
2023-04-01,2-wheelers,others,4315
2023-04-01,4-wheelers,pca automobiles,181
2023-04-01,2-wheelers,revolt,520
2023-04-01,4-wheelers,tata motors,364
2023-04-01,2-wheelers,tvs,8654
2023-04-01,4-wheelers,volvo auto india,27
2021-08-01,2-wheelers,ampere,810
2021-08-01,2-wheelers,ather,1613
2021-08-01,2-wheelers,bajaj,796
2021-08-01,2-wheelers,being,325
2021-08-01,4-wheelers,bmw india,0
2021-08-01,4-wheelers,byd india,0
2021-08-01,2-wheelers,hero electric,5527
2021-08-01,4-wheelers,hyundai motor,10
2021-08-01,2-wheelers,jitendra,208
2021-08-01,4-wheelers,kia motors,0
2021-08-01,4-wheelers,mahindra & mahindra,204
2021-08-01,4-wheelers,mercedes -benz ag,2
2021-08-01,4-wheelers,mg motor,303
2021-08-01,2-wheelers,okinawa,2894
2021-08-01,2-wheelers,ola electric,0
2021-08-01,2-wheelers,others,1279
2021-08-01,4-wheelers,pca automobiles,0
2021-08-01,2-wheelers,pure ev,1094
2021-08-01,2-wheelers,revolt,853
2021-08-01,4-wheelers,tata motors,584
2021-08-01,2-wheelers,tvs,651
2021-08-01,4-wheelers,volvo auto india,0
2022-08-01,2-wheelers,ampere,6771
2022-08-01,2-wheelers,ather,5376
2022-08-01,2-wheelers,bajaj,2620
2022-08-01,2-wheelers,being,1099
2022-08-01,4-wheelers,bmw india,19
2022-08-01,4-wheelers,byd india,33
2022-08-01,2-wheelers,hero electric,9925
2022-08-01,4-wheelers,hyundai motor,53
2022-08-01,2-wheelers,jitendra,653
2022-08-01,4-wheelers,kia motors,0
2022-08-01,4-wheelers,mahindra & mahindra,1085
2022-08-01,4-wheelers,mercedes -benz ag,3
2022-08-01,4-wheelers,mg motor,234
2022-08-01,2-wheelers,okaya ev,905
2022-08-01,2-wheelers,okinawa,8756
2022-08-01,2-wheelers,ola electric,3475
2022-08-01,2-wheelers,others,3678
2022-08-01,4-wheelers,pca automobiles,0
2022-08-01,2-wheelers,pure ev,880
2022-08-01,2-wheelers,revolt,1662
2022-08-01,4-wheelers,tata motors,1931
2022-08-01,2-wheelers,tvs,6426
2022-08-01,4-wheelers,volvo auto india,0
2023-08-01,2-wheelers,ampere,3654
2023-08-01,2-wheelers,ather,7065
2023-08-01,2-wheelers,bajaj,6508
2023-08-01,2-wheelers,battre electric,287
2023-08-01,2-wheelers,bgauss,912
2023-08-01,4-wheelers,bmw india,64
2023-08-01,4-wheelers,byd india,80
2023-08-01,2-wheelers,hero electric,774
2023-08-01,4-wheelers,hyundai motor,141
2023-08-01,4-wheelers,kia motors,21
2023-08-01,2-wheelers,kinetic green,380
2023-08-01,4-wheelers,mahindra & mahindra,2013
2023-08-01,4-wheelers,mercedes -benz ag,8
2023-08-01,4-wheelers,mg motor,913
2023-08-01,2-wheelers,okaya ev,1137
2023-08-01,2-wheelers,okinawa,1977
2023-08-01,2-wheelers,ola electric,18983
2023-08-01,2-wheelers,others,4990
2023-08-01,4-wheelers,pca automobiles,89
2023-08-01,2-wheelers,revolt,508
2023-08-01,4-wheelers,tata motors,3388
2023-08-01,2-wheelers,tvs,15296
2023-08-01,4-wheelers,volvo auto india,36
2021-12-01,2-wheelers,ampere,3410
2021-12-01,2-wheelers,ather,1813
2021-12-01,2-wheelers,bajaj,642
2021-12-01,2-wheelers,being,1190
2021-12-01,4-wheelers,bmw india,0
2021-12-01,4-wheelers,byd india,1
2021-12-01,2-wheelers,hero electric,6402
2021-12-01,4-wheelers,hyundai motor,10
2021-12-01,2-wheelers,jitendra,503
2021-12-01,4-wheelers,kia motors,0
2021-12-01,4-wheelers,mahindra & mahindra,552
2021-12-01,4-wheelers,mercedes -benz ag,1
2021-12-01,4-wheelers,mg motor,99
2021-12-01,2-wheelers,okinawa,6184
2021-12-01,2-wheelers,ola electric,240
2021-12-01,2-wheelers,others,2603
2021-12-01,4-wheelers,pca automobiles,0
2021-12-01,2-wheelers,pure ev,1685
2021-12-01,2-wheelers,revolt,835
2021-12-01,4-wheelers,tata motors,1952
2021-12-01,2-wheelers,tvs,1119
2021-12-01,4-wheelers,volvo auto india,0
2022-12-01,2-wheelers,ampere,4592
2022-12-01,2-wheelers,ather,7693
2022-12-01,2-wheelers,bajaj,3240
2022-12-01,2-wheelers,being,966
2022-12-01,4-wheelers,bmw india,27
2022-12-01,4-wheelers,byd india,37
