,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
0,2021-04-01,andaman & nicobar island,2-wheelers,0,515
1,2021-04-01,andaman & nicobar island,4-wheelers,9,168
2,2021-04-01,andhra pradesh,2-wheelers,436,63444
3,2021-04-01,andhra pradesh,4-wheelers,26,7837
4,2021-04-01,arunachal pradesh,2-wheelers,0,1256
5,2021-04-01,arunachal pradesh,4-wheelers,0,724
6,2021-04-01,assam,2-wheelers,7,30344
7,2021-04-01,assam,4-wheelers,0,6576
8,2021-04-01,bihar,2-wheelers,47,81056
9,2021-04-01,bihar,4-wheelers,4,5731
10,2021-04-01,chandigarh,2-wheelers,6,1200
11,2021-04-01,chandigarh,4-wheelers,2,1426
12,2021-04-01,chhattisgarh,2-wheelers,36,10274
13,2021-04-01,chhattisgarh,4-wheelers,0,1563
14,2021-04-01,delhi,2-wheelers,272,14233
15,2021-04-01,delhi,4-wheelers,61,8076
16,2021-04-01,dnh and dd,2-wheelers,1,657
17,2021-04-01,dnh and dd,4-wheelers,0,278
18,2021-04-01,goa,2-wheelers,36,3374
19,2021-04-01,goa,4-wheelers,8,1442
20,2021-04-01,gujarat,2-wheelers,98,49005
21,2021-04-01,gujarat,4-wheelers,44,17386
22,2021-04-01,haryana,2-wheelers,101,31078
23,2021-04-01,haryana,4-wheelers,3,15476
24,2021-04-01,himachal pradesh,2-wheelers,9,4360
25,2021-04-01,himachal pradesh,4-wheelers,1,3544
26,2021-04-01,jammu and kashmir,2-wheelers,22,6874
27,2021-04-01,jammu and kashmir,4-wheelers,0,5107
28,2021-04-01,jharkhand,2-wheelers,80,26969
29,2021-04-01,jharkhand,4-wheelers,3,3425
30,2021-04-01,karnataka,2-wheelers,1549,59979
31,2021-04-01,karnataka,4-wheelers,90,16864
32,2021-04-01,kerala,2-wheelers,379,57624
33,2021-04-01,kerala,4-wheelers,132,23660
34,2021-04-01,ladakh,2-wheelers,0,2
35,2021-04-01,ladakh,4-wheelers,0,20
36,2021-04-01,madhya pradesh,2-wheelers,126,29491
37,2021-04-01,madhya pradesh,4-wheelers,2,5356
38,2021-04-01,maharashtra,2-wheelers,428,45515
39,2021-04-01,maharashtra,4-wheelers,96,16829
40,2021-04-01,manipur,2-wheelers,2,3048
41,2021-04-01,manipur,4-wheelers,0,808
42,2021-04-01,meghalaya,2-wheelers,0,1189
43,2021-04-01,meghalaya,4-wheelers,1,930
44,2021-04-01,mizoram,2-wheelers,0,1507
45,2021-04-01,mizoram,4-wheelers,0,281
46,2021-04-01,nagaland,2-wheelers,0,561
47,2021-04-01,nagaland,4-wheelers,0,747
48,2021-04-01,odisha,2-wheelers,191,36953
49,2021-04-01,odisha,4-wheelers,5,5101
50,2021-04-01,puducherry,2-wheelers,18,2581
51,2021-04-01,puducherry,4-wheelers,0,655
52,2021-04-01,punjab,2-wheelers,9,24348
53,2021-04-01,punjab,4-wheelers,4,8955
54,2021-04-01,rajasthan,2-wheelers,325,48828
55,2021-04-01,rajasthan,4-wheelers,22,10647
56,2021-04-01,sikkim,2-wheelers,0,398
57,2021-04-01,sikkim,4-wheelers,0,361
58,2021-04-01,tamil nadu,2-wheelers,1297,107658
59,2021-04-01,tamil nadu,4-wheelers,75,18826
60,2021-04-01,tripura,2-wheelers,0,2906
61,2021-04-01,tripura,4-wheelers,0,289
62,2021-04-01,uttar pradesh,2-wheelers,171,137840
63,2021-04-01,uttar pradesh,4-wheelers,4,23056
64,2021-04-01,uttarakhand,2-wheelers,34,7607
65,2021-04-01,uttarakhand,4-wheelers,10,2728
66,2021-04-01,west bengal,2-wheelers,9,65885
67,2021-04-01,west bengal,4-wheelers,24,7640
68,2022-04-01,andaman & nicobar island,2-wheelers,0,407
69,2022-04-01,andaman & nicobar island,4-wheelers,1,147
70,2022-04-01,andhra pradesh,2-wheelers,2745,56529
71,2022-04-01,andhra pradesh,4-wheelers,54,7195
72,2022-04-01,arunachal pradesh,2-wheelers,0,1063
73,2022-04-01,arunachal pradesh,4-wheelers,0,824
74,2022-04-01,assam,2-wheelers,168,26813
75,2022-04-01,assam,4-wheelers,2,6354
76,2022-04-01,bihar,2-wheelers,475,82418
77,2022-04-01,bihar,4-wheelers,8,5981
78,2022-04-01,chandigarh,2-wheelers,63,1881
79,2022-04-01,chandigarh,4-wheelers,12,2167
80,2022-04-01,chhattisgarh,2-wheelers,1397,30843
81,2022-04-01,chhattisgarh,4-wheelers,20,4861
82,2022-04-01,delhi,2-wheelers,2832,32226
83,2022-04-01,delhi,4-wheelers,566,15811
84,2022-04-01,dnh and dd,2-wheelers,4,804
85,2022-04-01,dnh and dd,4-wheelers,1,431
86,2022-04-01,goa,2-wheelers,377,3817
87,2022-04-01,goa,4-wheelers,31,1390
88,2022-04-01,gujarat,2-wheelers,6695,88648
89,2022-04-01,gujarat,4-wheelers,171,26534
90,2022-04-01,haryana,2-wheelers,1215,30558
91,2022-04-01,haryana,4-wheelers,11,16721
92,2022-04-01,himachal pradesh,2-wheelers,97,4637
93,2022-04-01,himachal pradesh,4-wheelers,4,3140
94,2022-04-01,jammu and kashmir,2-wheelers,125,8306
95,2022-04-01,jammu and kashmir,4-wheelers,3,4468
96,2022-04-01,jharkhand,2-wheelers,450,35590
97,2022-04-01,jharkhand,4-wheelers,9,4564
98,2022-04-01,karnataka,2-wheelers,8814,100400
99,2022-04-01,karnataka,4-wheelers,311,24129
100,2022-04-01,kerala,2-wheelers,2908,41859
101,2022-04-01,kerala,4-wheelers,275,16142
102,2022-04-01,ladakh,2-wheelers,0,351
103,2022-04-01,ladakh,4-wheelers,0,105
104,2022-04-01,madhya pradesh,2-wheelers,1337,75144
105,2022-04-01,madhya pradesh,4-wheelers,37,11896
106,2022-04-01,maharashtra,2-wheelers,7375,135969
107,2022-04-01,maharashtra,4-wheelers,354,32449
108,2022-04-01,manipur,2-wheelers,1,1246
109,2022-04-01,manipur,4-wheelers,1,813
110,2022-04-01,meghalaya,2-wheelers,5,1472
111,2022-04-01,meghalaya,4-wheelers,1,860
112,2022-04-01,mizoram,2-wheelers,0,1530
113,2022-04-01,mizoram,4-wheelers,0,323
114,2022-04-01,nagaland,2-wheelers,2,444
115,2022-04-01,nagaland,4-wheelers,0,723
116,2022-04-01,odisha,2-wheelers,2261,44330
117,2022-04-01,odisha,4-wheelers,31,5448
118,2022-04-01,puducherry,2-wheelers,82,3044
119,2022-04-01,puducherry,4-wheelers,2,702
120,2022-04-01,punjab,2-wheelers,817,29934
121,2022-04-01,punjab,4-wheelers,3,10147
122,2022-04-01,rajasthan,2-wheelers,3771,70039
123,2022-04-01,rajasthan,4-wheelers,87,15176
124,2022-04-01,sikkim,2-wheelers,0,455
125,2022-04-01,sikkim,4-wheelers,0,380
126,2022-04-01,tamil nadu,2-wheelers,5425,106643
127,2022-04-01,tamil nadu,4-wheelers,154,17499
128,2022-04-01,tripura,2-wheelers,20,2797
129,2022-04-01,tripura,4-wheelers,0,448
130,2022-04-01,uttar pradesh,2-wheelers,2397,225079
131,2022-04-01,uttar pradesh,4-wheelers,11,32173
132,2022-04-01,uttarakhand,2-wheelers,602,12989
133,2022-04-01,uttarakhand,4-wheelers,49,4116
134,2022-04-01,west bengal,2-wheelers,815,68909
135,2022-04-01,west bengal,4-wheelers,40,8560
136,2023-04-01,andaman & nicobar island,2-wheelers,0,325
